s,n,Re(f_ibc3.tm),Im(f_ibc3.tm),Abs(f_ibc3.tm),Arg(f_ibc3.tm),Re(f_ibc3.te),Im(f_ibc3.te),Abs(f_ibc3.te),Arg(f_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-8.62845171E-01,+3.44010730E-01,+9.28894596E-01,+2.76221311E+00,-3.60650462E-02,-1.86452028E-01,+1.89907994E-01,-1.76186476E+00
+0.00000000E+00,+1.00000000E+00,-2.99836047E-02,+1.70542042E-01,+1.73157745E-01,+1.74483128E+00,-8.36002671E-01,-3.70273149E-01,+9.14331817E-01,-2.72465119E+00
+0.00000000E+00,+2.00000000E+00,-7.58467108E-06,-2.75401771E-03,+2.75402816E-03,-1.57355036E+00,-3.99065207E-02,-1.95739598E-01,+1.99766165E-01,-1.77191560E+00
+0.00000000E+00,+3.00000000E+00,-4.69519613E-07,-6.85214851E-04,+6.85215012E-04,-1.57148154E+00,-3.64949519E-05,-6.04099495E-03,+6.04110518E-03,-1.57683747E+00
+0.00000000E+00,+4.00000000E+00,-3.85159201E-10,-1.96254733E-05,+1.96254733E-05,-1.57081595E+00,-1.63516624E-08,-1.27873618E-04,+1.27873619E-04,-1.57092420E+00
+0.00000000E+00,+5.00000000E+00,-6.64962976E-14,-2.57868761E-07,+2.57868761E-07,-1.57079658E+00,-3.32010742E-12,-1.82211619E-06,+1.82211619E-06,-1.57079815E+00
+0.00000000E+00,+6.00000000E+00,-3.61652208E-18,-1.90171598E-09,+1.90171598E-09,-1.57079633E+00,-3.29852096E-16,-1.81618309E-08,+1.81618309E-08,-1.57079634E+00
+0.00000000E+00,+7.00000000E+00,-6.35537140E-23,-7.97237941E-12,+7.97237941E-12,-1.57079633E+00,-1.74569713E-20,-1.32124875E-10,+1.32124875E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-1.53299052E-28,-1.22928591E-14,+1.22928591E-14,-1.57079633E+00,-5.29069560E-25,-7.27551806E-13,+7.27551806E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,-1.87357706E-31,+6.92856630E-17,+6.92856630E-17,+1.57079633E+00,-9.12098228E-30,-3.12614618E-15,+3.12614618E-15,-1.57079633E+00
