s1,s2,Re(z_ibc0.11),Im(z_ibc0.11),Abs(z_ibc0.11),Arg(z_ibc0.11),Re(z_ibc0.21),Im(z_ibc0.21),Abs(z_ibc0.21),Arg(z_ibc0.21),Re(z_ibc0.12),Im(z_ibc0.12),Abs(z_ibc0.12),Arg(z_ibc0.12),Re(z_ibc0.22),Im(z_ibc0.22),Abs(z_ibc0.22),Arg(z_ibc0.22)
+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+1.47948687E-01,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+2.95897374E-01,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+4.43846061E-01,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+5.91794748E-01,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+7.39743436E-01,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+8.87692123E-01,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+1.03564081E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+1.18358950E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+1.33153818E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+1.47948687E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
+1.62743556E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.94360480E-16,+9.28501379E-01,+9.28501379E-01,+1.57079633E+00
