            r0/d;               tm;               te; 
  1.33333333e-01;   7.08567761e-01;   1.24933018e+02; 
  3.71007920e-01;   6.07351508e-01;   6.44171547e+00; 
  1.03235158e+00;   4.39521151e-01;   1.03872106e+00; 
  2.87257959e+00;   2.48837358e-01;   3.30644670e-01; 
  7.99312334e+00;   1.12650212e-01;   1.15199854e-01; 
  2.22413405e+01;   4.46376426e-02;   4.10120857e-02; 
  6.18878511e+01;   1.66550303e-02;   1.46925532e-02; 
  1.72206622e+02;   6.06880877e-03;   5.27441055e-03; 
  4.79175155e+02;   2.19197746e-03;   1.89478153e-03; 
  1.33333333e+03;   7.89181044e-04;   6.80853555e-04; 
